Gênero,Faixa etária,Estado civil,Escolaridade,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
FEMININO,100 anos ou mais              ,CASADO,ANALFABETO,17,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,CASADO,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,11,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,CASADO,LÊ E ESCREVE,17,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,SOLTEIRO,ANALFABETO,7,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,SOLTEIRO,LÊ E ESCREVE,4,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,VIÚVO,ANALFABETO,12,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,VIÚVO,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,VIÚVO,ENSINO FUNDAMENTAL INCOMPLETO,4,0,0,0,0,2022-07-11 22:32:34
FEMININO,100 anos ou mais              ,VIÚVO,LÊ E ESCREVE,8,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,CASADO,ENSINO MÉDIO INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,46,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,8,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,ENSINO MÉDIO COMPLETO,10,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,351,0,0,2,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,LÊ E ESCREVE,10,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,SUPERIOR COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,SOLTEIRO,SUPERIOR INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,16 anos                       ,VIÚVO,ENSINO MÉDIO INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,17 anos                       ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,ANALFABETO,2,0,0,0,1,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,62,0,0,1,1,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,14,0,0,0,0,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,ENSINO MÉDIO COMPLETO,69,0,0,1,1,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,602,0,0,2,8,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,LÊ E ESCREVE,20,0,0,0,1,2022-07-11 22:32:34
FEMININO,17 anos                       ,SOLTEIRO,SUPERIOR INCOMPLETO,4,0,0,0,0,2022-07-11 22:32:34
FEMININO,17 anos                       ,VIÚVO,ENSINO MÉDIO INCOMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,CASADO,ENSINO MÉDIO COMPLETO,5,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,CASADO,ENSINO MÉDIO INCOMPLETO,3,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,CASADO,LÊ E ESCREVE,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,CASADO,SUPERIOR INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SEPARADO JUDICIALMENTE,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,ANALFABETO,2,1,0.5,0,2,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,64,0,0,1,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,25,1,0.04,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,ENSINO MÉDIO COMPLETO,778,8,0.0103,1,4,2022-07-11 22:32:34
