NOME_DEPARTAMENTO;NOME_SECCIONAL;NOME_DELEGACIA;CIDADE;NUM_BO;ANO_BO;DATA_COMUNICACAO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;DESC_PERIODO;DESCR_TIPOLOCAL;BAIRRO;LOGRADOURO;NUMERO_LOGRADOURO;LATITUDE;LONGITUDE;NOME_DELEGACIA_CIRCUNSCRIÄ«O;NOME_DEPARTAMENTO_CIRCUNSCRIÄ«O;NOME_SECCIONAL_CIRCUNSCRIÄ«O;NOME_MUNICIPIO_CIRCUNSCRIÄ«O;RUBRICA;DESCR_CONDUTA;NATUREZA_APURADA;MES_ESTATISTICA;ANO_ESTATISTICA
DEMACRO;DEL.SEC.CARAPICUIBA;DEL.POL.ITAPEVI;ITAPEVI;AX5421;2023;20/01/2023;20/01/2023;12:53:33;NULL;Rodovia/Estrada;JARDIM SANTA RITA;RUA DA PAZ;15;-23,5505816;-46,9501552;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Localizaá∆o/Apreens∆o de objeto;NULL;APREENS«O DE ENTORPECENTES;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA;ITAPEVI;AA2963;2023;01/01/2023;01/01/2023;NULL;Pela manh∆;Metrovi†rio e Ferrovi†rio Metropolitano;JARDIM NOVA ITAPEVI;RUA JO«O PIRES DE OLIVEIRA;0;-23,5441665;-46,9353498;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA;ITAPEVI;AA4114;2023;01/01/2023;29/12/2022;NULL;A tarde;Via P£blica;CENTRO;AVENIDA CESµRIO DE ABREU;71;-23,5459657;-46,9342003;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AA9929;2023;02/01/2023;01/01/2022;00:00:00;NULL;Via P£blica;BAIRRO DOS ABREUS;AVENIDA CESµRIO DE ABREU;137;-23,54440815;-46,93216742;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA;ITAPEVI;AC0629;2023;02/01/2023;02/01/2023;NULL;A tarde;Via P£blica;JARDIM RUTH;RUA GAUGUIN;52;-23,5492651;-46,9331962;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AC4158;2023;03/01/2023;29/12/2022;NULL;De madrugada;Outros;PQ SUBURBANO;RUA DOS MINEIROS;1009;-23,56420949;-46,93397506;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AC4512;2023;03/01/2023;22/10/2022;08:30:00;NULL;Via P£blica;ENGENHEIRO CARDOSO;RUA EDUARDO DE ABREU;101;-23,53584588;-46,92255362;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AC4647;2023;03/01/2023;03/01/2023;10:10:00;NULL;Via P£blica;CENTRO;AVENIDA CESµRIO DE ABREU;77;-23,54461005;-46,9326156;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AC7601;2023;03/01/2023;01/01/2023;00:00:00;NULL;Via P£blica;PQ SUBURBANO;RUA DOS SUL AMERICANOS;36;-23,5634836;-46,93042936;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
DIPOL - DEPTO DE INTELIGENCIA;DELEGACIA ELETRONICA;DELEGACIA ELETRONICA 2;ITAPEVI;AC9863;2023;03/01/2023;27/12/2022;17:00:00;NULL;Via P£blica;JARDIM ROSEMARY;RUA SERRA DO PARACAIMA;222;-23,55954583;-46,93133713;DEL.POL.ITAPEVI;DEMACRO;DEL.SEC.CARAPICUIBA;ITAPEVI;Furto (art. 155);Outros;FURTO - OUTROS;1;2023
